"name","statistic","dm","p.value"
"livK_b3458_st",-9.75161401062832,-2.35196513090324,6.68403826578134e-05
"livM_b3456_st",-5.15611161885092,-1.04061825683283,0.00210268217453587
"lrp_b0889_st",-10.4234297351336,-2.30369211606209,4.57002455781857e-05
"lysU_b4129_st",5.89258449085948,3.29979980444756,0.00106020741020442
"manY_b1818_st",-2.56252550463728,-0.891518933111204,0.0427630292493184
"mdh_b3236_st",4.56491755538849,0.359911939861384,0.00383097204564718
"moaB_b0782_st",4.81459741982407,0.607118375576933,0.00295632545457423
"moaC_b0783_st",4.93233650948654,0.560747858320898,0.00262404746996331
"mopB_b4142_st",3.07308472000773,0.387985127432774,0.0218555669712003
"ndk_b2518_st",-6.51520800980371,-1.06607941432189,0.000623387630569885
"nemA_b1650_st",-5.25008003290194,-0.494141909243778,0.00191964842897819
"nlpC_b1708_st",2.68185780280094,0.341239423596596,0.0364458127806975
"nmpC_b0553_st",-3.19567410331305,-0.878990354875208,0.0187018657670176
"nuoE_b2285_st",-3.22804299162705,-0.295683170122258,0.0179546092189579
"nupC_b2393_st",-5.5529036555801,-0.785607129528021,0.00144221661734158
"nusB_b0416_st",-2.9572657735907,-0.295389781220324,0.0253727172363472
"ompT_b0565_st",-4.63963976399873,-2.67317811788438,0.00354181490703232
"oppA_b1243_st",7.97448919840253,2.97550909373866,0.000207101802167028
"oppB_b1244_st",9.36080525192338,2.91274147305279,8.43055984846735e-05
"oppC_b1245_st",5.5156412519862,2.14631412017458,0.00149296285896815
"oppD_b1246_st",9.76450835998647,1.94368594247359,6.63398556956697e-05
"oppF_b1247_st",5.21202201890307,1.46292829700537,0.00199150518944323
"osmY_b4376_st",3.76334812343845,0.512519211097894,0.00936160437194672
"pepD_b0237_st",2.92285577774004,0.670302585101904,0.0265325068504739
"phoH_b1020_st",2.99744165826098,0.69498650564362,0.0240876062080654
"pntA_b1603_st",-7.73422840461545,-1.58460278693894,0.000245301390530827
"pntB_b1602_st",-5.01310306246258,-1.47033738696831,0.00242058361403936
"potA_b1126_st",-2.90642033952747,-0.60291781533973,0.0271065844113167
"ppc_b3956_st",2.90869211581198,0.72145593573312,0.0270264396974686
"ppsA_b1702_st",-2.83672769214497,-0.244948536581241,0.0296942321761692
"prfC_b4375_st",-3.72083271397653,-0.561692436304504,0.0098426771638799
"proP_b4111_st",2.72493278798471,0.901823388589783,0.0344166566022138
"proV_b2677_st",2.72544241153931,0.783588542956213,0.0343933854452397
"ptsG_b1101_st",-5.03600512911578,-1.15639430777838,0.00236618904563128
"purD_b4005_st",-2.47093642557321,-0.424604042618162,0.0483962258357494
"purH_b4006_st",-2.44923689250688,-0.633126086625829,0.0498423732746455
"pyrG_b2780_st",-2.81227096389128,-0.325932441353149,0.0306643853565962
"rmf_b0953_st",7.85167660818359,2.70531010599955,0.000225696552016252
"rnpA_b3704_st",-4.05254174869949,-0.59769237500613,0.00670681534376432
"rplA_b3984_st",-2.75290132664347,-0.312323202960719,0.0331640972247773
"rplC_b3320_st",-3.89267396080269,-0.217932097461389,0.00805181204966287
"rplL_b3986_f_st",-2.54393388311344,-0.509288258183089,0.0438476893109113
"rplM_b3231_st",-5.353890809143,-0.385473234893499,0.00173817148152607
"rpoA_b3295_st",-3.57907534794708,-0.225578797774212,0.0116560663791775
"rpoN_b3202_st",4.30268875882172,0.448290356467657,0.00507783828380315
"rpoS_b2741_st",2.78947837654161,0.803903628233115,0.0315992610620484
"rpsF_b4200_st",-2.61400963972564,-0.310361181106977,0.039905315335847
"rpsI_b3230_st",-5.24154388457768,-0.509605273737106,0.00193550541953658
"rpsJ_b3321_st",-4.48098990452116,-0.278269143132215,0.00418796743397949
"rpsR_b4202_st",-2.6408608561835,-0.651544558465966,0.0384960929087821
"rpsU_b3065_st",-3.36044611728464,-0.602212213277282,0.0152212249337749
"sdhA_b0723_st",-5.37806382546462,-0.486740085584415,0.0016987668849718
