index,lat,lon,uwnd,vwnd
510,-78.375,127.625,3.454800605773926,3.04278826713562
520,-78.375,130.125,3.4395408630371094,2.801684617996216
530,-78.375,132.625,3.112982988357544,2.926814317703247
540,-78.375,135.125,2.7070744037628174,2.386620283126831
550,-78.375,137.625,2.658243179321289,1.0376609563827515
560,-78.375,140.125,2.7955808639526367,0.19532442092895508
570,-78.375,142.625,3.0214245319366455,1.0590245723724365
580,-78.375,145.125,3.2442164421081543,2.4751267433166504
590,-78.375,147.625,3.6806445121765137,3.351034641265869
600,-78.375,150.125,3.955319404602051,3.8362936973571777
610,-78.375,152.625,3.732527494430542,3.6806445121765137
620,-78.375,155.125,3.1373984813690186,2.9054508209228516
630,-78.375,157.625,1.9929194450378418,0.9155832529067993
640,-78.375,160.125,0.5646096467971802,-0.33571386337280273
650,-78.375,162.625,0.7294146418571472,0.32655802369117737
660,-78.375,165.125,0.5279863476753235,1.5656473636627197
670,-78.375,167.625,0.7385704517364502,1.0437648296356201
680,-78.375,170.125,1.9868155717849731,2.4049320220947266
690,-78.375,172.625,1.4069461822509766,2.2584385871887207
700,-78.375,175.125,1.727400302886963,1.9685039520263672
710,-78.375,177.625,1.9898675680160522,2.3622047901153564
720,-78.375,180.125,0.6744796633720398,1.7548677921295166
730,-78.375,182.625,-0.3418177366256714,1.461881160736084
740,-78.375,185.125,-1.443569540977478,-0.2655191421508789
750,-78.375,187.625,-2.2492828369140625,-2.569736957550049
760,-78.375,190.125,-2.429347515106201,-3.7050600051879883
770,-78.375,192.625,-1.922724723815918,-3.9003844261169434
780,-78.375,195.125,-2.313373565673828,-3.3296709060668945
790,-78.375,197.625,-1.004089593887329,-2.4049320220947266
800,-78.375,200.125,-0.5157785415649414,-0.7904534935951233
810,-78.375,202.625,1.2787646055221558,-1.330647587776184
820,-78.375,205.125,1.5809069871902466,-1.9746078252792358
830,-78.375,207.625,1.1994140148162842,-1.538179874420166
840,-78.375,210.125,0.8301287889480591,-0.3540255129337311
850,-78.375,212.625,1.2055178880691528,-0.6866874098777771
860,-78.375,215.125,0.9186351895332336,-0.8514924049377441
870,-78.375,217.625,1.4924006462097168,-1.6266862154006958
880,-78.375,220.125,1.4527254104614258,-1.5198681354522705
890,-78.375,222.625,0.9125312566757202,-1.6144784688949585
900,-78.375,225.125,0.30824634432792664,-1.9837636947631836
910,-78.375,227.625,-0.07324665784835815,-2.310321569442749
920,-78.375,230.125,-0.37538912892341614,-2.349997043609619
930,-78.375,232.625,-0.11597387492656708,-2.2187633514404297
940,-78.375,235.125,0.7324665784835815,-1.538179874420166
950,-78.375,237.625,1.0285052061080933,-0.8575962781906128
960,-78.375,240.125,0.29603856801986694,-1.1017518043518066
970,-78.375,242.625,-0.8209729790687561,-0.34792160987854004
980,-78.375,245.125,-1.1292192935943604,1.4405176639556885
990,-78.375,247.625,-1.3794786930084229,2.801684617996216
